ID_BIKEST,DISTRICT_NUMBER,DISTRICT_NAME,WIKIDATA_DISTRICT,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,WIKIDATA_NEIGHBOURHOOD,AD_NAME,AD_NUMBER,CAPACITY,LONGITUDE,LATITUDE
69,3,Retiro,http://www.wikidata.org/entity/Q2002296,35,Jerónimos,http://www.wikidata.org/entity/Q10306766,CALLE DE ALFONSO XII,54,27,-3.6888669,40.4100609
70,3,Retiro,http://www.wikidata.org/entity/Q2002296,35,Jerónimos,http://www.wikidata.org/entity/Q10306766,AVENIDA DE MENENDEZ PELAYO,63,24,-3.6777994,40.4152203
71,3,Retiro,http://www.wikidata.org/entity/Q2002296,36,Niño Jesús,http://www.wikidata.org/entity/Q3773746,CALLE DEL DOCE DE OCTUBRE,28,24,-3.674021,40.4160054
72,3,Retiro,http://www.wikidata.org/entity/Q2002296,36,Niño Jesús,http://www.wikidata.org/entity/Q3773746,CALLE DEL DOCTOR ESQUERDO,62,24,-3.669623,40.415721
73,3,Retiro,http://www.wikidata.org/entity/Q2002296,33,Estrella,http://www.wikidata.org/entity/Q3773738,PLAZA DE LOS ASTROS,S/N,24,-3.669099,40.411463
74,3,Retiro,http://www.wikidata.org/entity/Q2002296,35,Jerónimos,http://www.wikidata.org/entity/Q10306766,AVENIDA DE MENENDEZ PELAYO,S/N,24,-3.6765768,40.4117601
75,3,Retiro,http://www.wikidata.org/entity/Q2002296,35,Jerónimos,http://www.wikidata.org/entity/Q10306766,AVENIDA DE MENENDEZ PELAYO,S/N,24,-3.6784149,40.4083387
76,3,Retiro,http://www.wikidata.org/entity/Q2002296,36,Niño Jesús,http://www.wikidata.org/entity/Q3773746,AVENIDA DEL MEDITERRANEO,19,24,-3.6751544,40.4072851
77,3,Retiro,http://www.wikidata.org/entity/Q2002296,31,Pacífico,http://www.wikidata.org/entity/Q3773753,PLAZA DEL CONDE DE CASAL,8,22,-3.6707742,40.4063347
78,3,Retiro,http://www.wikidata.org/entity/Q2002296,32,Adelfas,http://www.wikidata.org/entity/Q3774001,CALLE DEL CERRO DE LA PLATA,2,24,-3.6745783,40.4005704
79,3,Retiro,http://www.wikidata.org/entity/Q2002296,31,Pacífico,http://www.wikidata.org/entity/Q3773753,AVENIDA DE MENENDEZ PELAYO,38,24,-3.6805524,40.4050482
80a,2,Arganzuela,http://www.wikidata.org/entity/Q2000929,27,Atocha,http://www.wikidata.org/entity/Q3814594,AVENIDA DE LA CIUDAD DE BARCELONA,S/N,24,-3.6904816,40.4074122
80b,2,Arganzuela,http://www.wikidata.org/entity/Q2000929,27,Atocha,http://www.wikidata.org/entity/Q3814594,AVENIDA DE LA CIUDAD DE BARCELONA,S/N,27,-3.6907238,40.407626
81,3,Retiro,http://www.wikidata.org/entity/Q2002296,35,Jerónimos,http://www.wikidata.org/entity/Q10306766,CALLE DE CLAUDIO MOYANO,S/N,24,-3.6919663,40.4095758
82,3,Retiro,http://www.wikidata.org/entity/Q2002296,33,Estrella,http://www.wikidata.org/entity/Q3773738,CALLE DE LA LIRA,2,24,-3.669683,40.4084793
83,3,Retiro,http://www.wikidata.org/entity/Q2002296,36,Niño Jesús,http://www.wikidata.org/entity/Q3773746,CALLE DE PIO BAROJA,8,24,-3.6745339,40.4132589
84,3,Retiro,http://www.wikidata.org/entity/Q2002296,32,Adelfas,http://www.wikidata.org/entity/Q3774001,CALLE DEL DOCTOR ESQUERDO,191,24,-3.6726923,40.4033695
85,3,Retiro,http://www.wikidata.org/entity/Q2002296,35,Jerónimos,http://www.wikidata.org/entity/Q10306766,AVENIDA DE MENENDEZ PELAYO,9,27,-3.6799299,40.4211415
86,1,Centro,http://www.wikidata.org/entity/Q1763376,13,Cortes,http://www.wikidata.org/entity/Q2535637,PASEO DEL PRADO,S/N,21,-3.6933298,40.4185779
87,4,Salamanca,http://www.wikidata.org/entity/Q1773521,41,Recoletos,http://www.wikidata.org/entity/Q3814551,CALLE DE AYALA,44,24,-3.6835631,40.4276717
88,4,Salamanca,http://www.wikidata.org/entity/Q1773521,46,Castellana,http://www.wikidata.org/entity/Q4781,CALLE DE VELAZQUEZ,73,24,-3.6837471,40.4312077
89,4,Salamanca,http://www.wikidata.org/entity/Q1773521,42,Goya,http://www.wikidata.org/entity/Q3814578,CALLE DE AYALA,102,24,-3.6751716,40.4272628
90,4,Salamanca,http://www.wikidata.org/entity/Q1773521,41,Recoletos,http://www.wikidata.org/entity/Q3814551,CALLE DE GOYA,18,30,-3.6837297,40.4250878
91,4,Salamanca,http://www.wikidata.org/entity/Q1773521,42,Goya,http://www.wikidata.org/entity/Q3814578,CALLE DE HERMOSILLA,73,24,-3.6788203,40.4261113
92,4,Salamanca,http://www.wikidata.org/entity/Q1773521,41,Recoletos,http://www.wikidata.org/entity/Q3814551,CALLE DE CLAUDIO COELLO,45,24,-3.6864821,40.4262237
93,4,Salamanca,http://www.wikidata.org/entity/Q1773521,41,Recoletos,http://www.wikidata.org/entity/Q3814551,CALLE DE GOYA,3,24,-3.6894124,40.4256984
94,4,Salamanca,http://www.wikidata.org/entity/Q1773521,41,Recoletos,http://www.wikidata.org/entity/Q3814551,PASEO DE RECOLETOS,22,21,-3.6907044,40.4233686
95,4,Salamanca,http://www.wikidata.org/entity/Q1773521,41,Recoletos,http://www.wikidata.org/entity/Q3814551,CALLE DE CLAUDIO COELLO,19,24,-3.6869914,40.4226634
96,4,Salamanca,http://www.wikidata.org/entity/Q1773521,41,Recoletos,http://www.wikidata.org/entity/Q3814551,CALLE DE ALCALA,111,27,-3.6820471,40.4220516
97,4,Salamanca,http://www.wikidata.org/entity/Q1773521,42,Goya,http://www.wikidata.org/entity/Q3814578,AVENIDA DE MENENDEZ PELAYO,1,27,-3.6801515,40.4224846
98,4,Salamanca,http://www.wikidata.org/entity/Q1773521,42,Goya,http://www.wikidata.org/entity/Q3814578,AVENIDA DE FELIPE II,5,24,-3.6754079,40.4241911
99,4,Salamanca,http://www.wikidata.org/entity/Q1773521,42,Goya,http://www.wikidata.org/entity/Q3814578,CALLE DE ALCANTARA,2,24,-3.6739638,40.4261048
100,4,Salamanca,http://www.wikidata.org/entity/Q1773521,42,Goya,http://www.wikidata.org/entity/Q3814578,CALLE DE GOYA,99,24,-3.6738777,40.4247843
101,4,Salamanca,http://www.wikidata.org/entity/Q1773521,42,Goya,http://www.wikidata.org/entity/Q3814578,CALLE DE JORGE JUAN,131,24,-3.6694246,40.4231223
102,4,Salamanca,http://www.wikidata.org/entity/Q1773521,41,Recoletos,http://www.wikidata.org/entity/Q3814551,CALLE DE ALCALA,95,24,-3.6840806,40.4211552
103,4,Salamanca,http://www.wikidata.org/entity/Q1773521,46,Castellana,http://www.wikidata.org/entity/Q4781,CALLE DE JOSE ORTEGA Y GASSET,4,24,-3.6865351,40.4303733
104,4,Salamanca,http://www.wikidata.org/entity/Q1773521,41,Recoletos,http://www.wikidata.org/entity/Q3814551,PASEO DE LA CASTELLANA,4,21,-3.6895792,40.4267658
